Name,Year,Authors,Description,Sector,Who participates?,How many people?,Is it voluntary?,Is it intended?,When?,Where?,How?,What's the medium?,What's the user input?,What changes?,What's the target?,Where are the elements integrated into?,What are the output applications?,Who are the applications accessible to?
Crane,2022,Collins,Escrita do nome e escolha de cores,Commerce,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Element Manipulation, Element Reactivity","Computer, Mobile","Parameters/Options, Text","Color, Shape",System,Extension,Printed Materials,Unsure
WDC Helsinki 2012,2012,Kokoro & Moi,Desenho interpretando as temáticas centrais do projeto,Art and Design,Anyone,One Person,Voluntary,Intended,During the Design Process,Workshops,Element Creation,Physical,Drawing or Writing,Content,System,System,Overall Usage,The Public
Vietnam Design Day,2024,"Xuan Phan, Ven Bui and Quang Do",Movimento,Art and Design,Staff,"Multiple People, One Person","Involuntary, Voluntary",Intended,After the Design Process,Events,Element Reactivity,Computer,Audio or Video Capture,Shape,System,System,Overall Usage,The Public
Barbie Movie,2023,In-house Team,"Tirando uma foto, alterando a cor dos elementos e completando uma frase.",Music and Entertainment,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Manipulation,"Computer, Mobile","Image, Parameters/Options, Text","Color, Content",System,Extension,Social Media Content,The Public
Creativity for Awareness,2024,Cylia Mélet,Pintando e combinando stencils,Community Development,Staff,One Person,Voluntary,Intended,After the Design Process,Workshops,"Element Combination, Element Creation",Physical,Drawing or Writing,"Color, Combination, Content, Positioning, Repetition",System,System,Printed Materials,The Public
La Cascade,2024,Méline Renck,"Colando Autocolantes circulares numa base já feita, completando-a",Culture,Anyone,Multiple People,Voluntary,Intended,After the Design Process,Outside,Element Combination,Physical,Object Manipulation,Positioning,System Element,System,Printed Materials,The Public
Lesley Moore,2004,Lesley Moore,Combinação das formas disponíveis para gerar novos Símbolos,Art and Design,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Combination,Computer,Object Manipulation,"Combination, Positioning, Repetition","Marca gráfica, Symbol",System,Overall Usage,The Public
Making,2014,Garbett,Utilizam fio para representar o seu nome numa matriz alfabética,"Architecture, Events and Exhibitions",Attendees,One Person,Voluntary,Emergent,After the Design Process,Events,Element Manipulation,Physical,Object Manipulation,Shape,System,System,Printed Materials,The Public
Exploring the world of ASMR,2022,DNCO,Através da produção de sons (ASMR),Events and Exhibitions,Unsure,Unsure,Unsure,Intended,After the Design Process,Unsure,Element Reactivity,Unsure,Audio or Video Capture,Shape,System,System,Overall Usage,The Public
Nutella,2025,The Ferrero Group,Escolhem o conteúdo escrito no rótulo,Commerce,Members/Clients,One Person,Voluntary,Intended,After the Design Process,Entity Location,Element Manipulation,"Computer, Mobile",Text,Content,"Logotype, Marca gráfica",Extension,Product Packaging,A Restricted Group
Foxtale,2025,The Foxtale Gin Company,Escolhem o conteúdo escrito no rótulo,Commerce,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Manipulation,"Computer, Mobile",Text,Content,System Element,Extension,Product Packaging,A Restricted Group
Jones Soda,2025,Jones Soda Company,Enviam fotos para serem colocadas nos rótulos / Personalizam os rótulos com foto + texto atrás (My Jones),Commerce,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Manipulation,"Computer, Mobile",Image,Content,System,System,Product Packaging,A Restricted Group
Share a Coke,2025,Coca Cola Company,Personalizar o rótulo,Commerce,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Manipulation,"Computer, Mobile","Parameters/Options, Text",Content,"Logotype, Marca gráfica, System",Extension,Product Packaging,A Restricted Group
Get Well Soon Soup,2011,Heinz,Esolhem o conteúdo do rótulo,Commerce,Members/Clients,One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Manipulation,"Computer, Mobile",Text,Content,System Element,Extension,Product Packaging,A Restricted Group
